compound_id	category	collection	local_i	main_i	main_d	propensity	availability	purity	logP	logD	logSw	pka_ma	color	stereo	state	cas	chembl_similars	n_similars
825_1974	selected	DC	0.5663	0.2106	0.3764	0.244	3	90%	4.6267	4.6073	-4.6095	12.1462	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
372_1446	selected	DC	0.4056	0.2413	0.4643	0.2719	2	90%	4.6196	4.2778	-3.9145	7.322	ORANGE	ACHIRAL	Solid	NA	0	0
265_1216	selected	DC	0.2562	0.264	0.3387	0.2276	1	90%	4.6167	4.6099	-4.8561	9.1973	YELLOW	ACHIRAL	Solid	NA	0	0
723_1454	selected	DC	0.6145	0.2139	0.3764	0.2499	22	90%	4.6098	4.6063	-4.6792	12.2282	NOT COLORED	RACEMIC MIXTURE	Solid	NA	CHEMBL1565896	1
994_1446	selected	DC	0.5977	0.2131	0.5435	0.2827	14	90%	4.6004	4.5993	-4.3719	23.1871	ORANGE	RACEMIC MIXTURE	Solid	NA	0	0
757_1698	selected	DC	0.2743	0.2634	0.447	0.3095	50	90%	4.57	4.57	-5.2	14	NOT COLORED	ACHIRAL	Solid	NA	0	0
884_1273	selected	DC	0.5185	0.2045	0.4922	0.2236	1	90%	4.5596	4.4436	-4.2822	14.0251	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL4921225	1
966_1122	selected	DC	0.416	0.229	0.4848	0.2848	1	90%	4.5387	4.5387	-4.3156	11.9195	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL4998269, CHEMBL5017094	2
941_1306	selected	DC	0.5911	0.2451	0.4136	0.3133	1	90%	4.5274	4.4114	-4.2992	21.0462	NOT COLORED	ACHIRAL	Solid	NA	0	0
405_1383	selected	DC	0.603	0.2063	0.2829	0.2446	3	90%	4.5229	4.5035	-4.2126	12.0249	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
396_1908	selected	DC	0.2375	0.3547	0.3708	0.5692	18	90%	4.4999	4.4998	-4.3033	11.098	NOT COLORED	ACHIRAL	Solid	NA	0	0
797_1834	selected	DC	0.4513	0.2585	0.4403	0.3087	2	90%	4.4689	4.4688	-4.2861	23.445	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1350146, CHEMBL1488056, CHEMBL1539700, CHEMBL1603621, CHEMBL1493376, CHEMBL1312185	6
728_1172	selected	DC	0.36	0.2351	0.494	0.2952	1	90%	4.4546	4.4546	-4.2104	12.3739	NOT COLORED	ACHIRAL	Oil	NA	CHEMBL4998269	1
421_1070	selected	DC	0.534	0.2008	0.5765	0.2777	2	90%	4.4341	4.369	-4.6385	20.9681	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL4997901, CHEMBL4946444	2
732_1566	selected	DC	0.4528	0.3363	0.2694	0.5441	25	90%	4.4301	4.43	-4.2157	11.692	YELLOW	ACHIRAL	Solid	NA	0	0
893_1990	selected	DC	0.623	0.2073	0.2001	0.2191	1	90%	4.3776	4.3776	-4.3361	14.4877	NOT COLORED	RACEMIC MIXTURE	Solid	NA	CHEMBL4974365	1
